val_accuracy,val_cross_entropy,epoch,step,train_accuracy_epoch,train_cross_entropy_epoch,train_accuracy_step,train_cross_entropy_step
0.5,1.531849980354309,0,21,,,,
,,0,21,0.40909090638160706,0.7747352123260498,,
0.5,1.9916032552719116,1,43,,,,
,,1,43,0.5454545617103577,0.6818562150001526,,
,,2,49,,,1.0,0.5876520872116089
0.5,1.8747752904891968,2,65,,,,
,,2,65,0.6363636255264282,0.6056787967681885,,
0.5,2.3656013011932373,3,87,,,,
,,3,87,0.5454545617103577,0.6246489882469177,,
,,4,99,,,0.0,0.8437083959579468
